slug,old_url,new_slug,new_url,category,hub,file_path,content_length
"0-125-cup-gluten-free-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-125-cup-gluten-free-flour-to-ounces","conversions/cups-to-ounces/0-125-cup-gluten-free-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-125-cup-gluten-free-flour-to-ounces","conversions","cups-to-ounces","src\content\blog\0-125-cup-gluten-free-flour-to-ounces.md",10720
"0-2-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-2-kg-to-pounds","conversions/kg-to-pounds/0-2-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-2-kg-to-pounds","conversions","kg-to-pounds","src\content\blog\0-2-kg-to-pounds.md",15469
"0-25-cup-shredded-coconut-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-25-cup-shredded-coconut-to-ounces","conversions/cups-to-ounces/0-25-cup-shredded-coconut-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-25-cup-shredded-coconut-to-ounces","conversions","cups-to-ounces","src\content\blog\0-25-cup-shredded-coconut-to-ounces.md",10735
"0-25-kg-beef-joint-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-25-kg-beef-joint-to-pounds","conversions/kg-to-pounds/0-25-kg-beef-joint-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-25-kg-beef-joint-to-pounds","conversions","kg-to-pounds","src\content\blog\0-25-kg-beef-joint-to-pounds.md",14933
"0-25-kg-beef-mince-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-25-kg-beef-mince-to-pounds","conversions/kg-to-pounds/0-25-kg-beef-mince-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-25-kg-beef-mince-to-pounds","conversions","kg-to-pounds","src\content\blog\0-25-kg-beef-mince-to-pounds.md",13837
"0-25-kg-chicken-breast-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-25-kg-chicken-breast-to-pounds","conversions/kg-to-pounds/0-25-kg-chicken-breast-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-25-kg-chicken-breast-to-pounds","conversions","kg-to-pounds","src\content\blog\0-25-kg-chicken-breast-to-pounds.md",14832
"0-25-kg-chicken-thighs-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-25-kg-chicken-thighs-to-pounds","conversions/kg-to-pounds/0-25-kg-chicken-thighs-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-25-kg-chicken-thighs-to-pounds","conversions","kg-to-pounds","src\content\blog\0-25-kg-chicken-thighs-to-pounds.md",19430
"0-25-kg-chicken-wings-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-25-kg-chicken-wings-to-pounds","conversions/kg-to-pounds/0-25-kg-chicken-wings-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-25-kg-chicken-wings-to-pounds","conversions","kg-to-pounds","src\content\blog\0-25-kg-chicken-wings-to-pounds.md",14459
"0-25-kg-cod-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-25-kg-cod-fillet-to-pounds","conversions/kg-to-pounds/0-25-kg-cod-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-25-kg-cod-fillet-to-pounds","conversions","kg-to-pounds","src\content\blog\0-25-kg-cod-fillet-to-pounds.md",17307
"0-25-kg-fish-fingers-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-25-kg-fish-fingers-to-pounds","conversions/kg-to-pounds/0-25-kg-fish-fingers-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-25-kg-fish-fingers-to-pounds","conversions","kg-to-pounds","src\content\blog\0-25-kg-fish-fingers-to-pounds.md",14097
